person_age,count_declarations
0.0,143224
1.0,171969
2.0,180168
3.0,197675
4.0,244676
5.0,267710
6.0,279909
7.0,307676
8.0,333510
9.0,360353
10.0,376726
11.0,406868
12.0,402166
13.0,416402
14.0,395464
15.0,393266
16.0,402937
17.0,397418
18.0,268528
19.0,293562
20.0,281807
21.0,291685
22.0,297804
23.0,281094
24.0,272082
25.0,280542
26.0,278704
27.0,294657
28.0,308443
29.0,326429
30.0,334485
31.0,352348
32.0,367668
33.0,394838
34.0,412422
35.0,432945
36.0,452965
37.0,482968
38.0,491534
39.0,512682
40.0,494712
41.0,504877
42.0,510096
43.0,470592
44.0,457589
45.0,461305
46.0,452503
47.0,448251
48.0,443278
49.0,453349
50.0,446401
51.0,440441
52.0,429546
53.0,438923
54.0,432318
55.0,420314
56.0,398051
57.0,398159
58.0,396942
59.0,405442
60.0,389898
61.0,407670
62.0,430871
63.0,439190
64.0,442726
65.0,447480
66.0,434337
67.0,420510
68.0,399785
69.0,378944
70.0,356237
71.0,352763
72.0,313737
73.0,313047
74.0,302940
75.0,281696
76.0,286297
77.0,236933
78.0,191428
79.0,175284
80.0,101107
81.0,115153
82.0,96814
83.0,105792
84.0,127879
85.0,113391
86.0,109447
87.0,96954
88.0,85247
89.0,55386
90.0,37556
91.0,23484
92.0,15156
93.0,14416
94.0,11650
95.0,10068
96.0,6815
97.0,5124
98.0,3352
99.0,2325
